navigation_key,node_key,parent_node_key,node_type,title.en_US,url.en_US,css_class.en_US,title.de_DE,url.de_DE,css_class.de_DE,valid_from,valid_to,title.vi_VN,css_class.vi_VN,url.vi_VN,title.vi_VN
MAIN_NAVIGATION,node_key_1,,category,Computers,/en/computers,,Computer,/de/computer,,,,Computers,,/vi/computers,Computers
MAIN_NAVIGATION,node_key_2,node_key_1,category,Notebooks,/en/computers/notebooks,,Notebooks,/de/computer/notebooks,,,,Notebooks,,/vi/computers/notebooks,Notebooks
MAIN_NAVIGATION,node_key_3,node_key_1,link,Stylish Black Notebooks,/en/computers/notebooks?color%5B0%5D=Black,,Elegante schwarze Notebooks,/de/computer/notebooks?color%5B%5D=Black,,,,Stylish Black Notebooks,,/vi/computers/notebooks?color%5B0%5D=Black,Stylish Black Notebooks
MAIN_NAVIGATION,node_key_4,node_key_1,category,PCs & Workstations,/en/computers/pcs-&-workstations,,PCs & Workstations,/de/computer/pcs-&-workstations,,,,PCs & Workstations,,/vi/computers/pcs-&-workstations,PCs & Workstations
MAIN_NAVIGATION,node_key_5,node_key_1,category,Tablets,/en/computers/tablets,,Tablets,/de/computer/tablets,,,,Tablets,,/vi/computers/tablets,Tablets
MAIN_NAVIGATION,node_key_6,node_key_1,link,Tablets on Sale,/en/computers/tablets?label%5B0%5D=SALE+%25,,Tablets im Sale,/de/computer/tablets?label%5B0%5D=SALE%20%25,,,,Tablets on Sale,,/vi/computers/tablets?label%5B0%5D=SALE+%25,Tablets on Sale
MAIN_NAVIGATION,node_key_7,,category,Cameras,/en/cameras-&-camcorders,,Kameras,/de/kameras-&-camcorder,,,,Cameras,,/vi/cameras-&-camcorders,Cameras
MAIN_NAVIGATION,node_key_8,node_key_7,category,Digital Cameras,/en/cameras-&-camcorders/digital-cameras,,Digitale Kameras,/de/kameras-&-camcorder/digitale-kameras,,,,Digital Cameras,,/vi/cameras-&-camcorders/digital-cameras,Digital Cameras
MAIN_NAVIGATION,node_key_9,node_key_7,link,Digital Cameras on Sale,/en/cameras-&-camcorders/digital-cameras?label%5B0%5D=SALE+%25,,Digitale Kameras im Sale,/de/kameras-&-camcorder/digitale-kameras?label%5B0%5D=SALE%20%25,,,,Digital Cameras on Sale,,/vi/cameras-&-camcorders/digital-cameras?label%5B0%5D=SALE+%25,Digital Cameras on Sale
MAIN_NAVIGATION,node_key_10,node_key_7,category,Camcorders,/en/cameras-&-camcorders/camcorders,,Camcorder,/de/kameras-&-camcorder/camcorder,,,,Camcorders,,/vi/cameras-&-camcorders/camcorders,Camcorders
MAIN_NAVIGATION,node_key_11,node_key_7,link,New Camcorders,/en/cameras-&-camcorders/camcorders?label%5B0%5D=New,,Neue Camcorder,/de/kameras-&-camcorder/camcorder?label%5B0%5D=New,,,,New Camcorders,,/vi/cameras-&-camcorders/camcorders?label%5B0%5D=New,New Camcorders
